domain	bias_rating	category	mbfc_ideo	ave_m	ave_m_log10
13abc.com	least biased	center	0.0	1198681.0	6.078703983797144
fresnobee.com	left-center	leftcenter	-1.0	1196666.0	6.077973314832033
modbee.com	least biased	center	0.0	1195014.0	6.077373356645113
kvoa.com	least biased	center	0.0	1189660.0	6.075423224582656
thesmokinggun.com	least biased	center	0.0	1187666.0	6.0746946895214515
kansas.com	least biased	center	0.0	1187000.0	6.074451084830159
rgj.com		leftcenter	-1.0	1183451.0	6.073150647936519
csmonitor.com	least biased	center	0.0	1178666.0	6.071391124442194
journalnow.com	least biased	center	0.0	1178000.0	6.071145659121964
mystateline.com	least biased	center	0.0	1174593.0	6.069887778072112
modernhealthcare.com	least biased	center	0.0	1167872.0	6.06739561812054
gazette.com	right-center	right-center	1.0	1162666.0	6.065455346051882
ksn.com	least biased	center	0.0	1157213.0	6.063413679111763
thecanary.co	left	left	-1.0	1155333.0	6.062707554260865
panampost.com		right	1.0	1153333.0	6.0619550951103145
weau.com	least biased	center	0.0	1150538.0	6.060901344601989
mixi.media	extreme right	fake-news	1.0	1150000.0	6.060697840353612
lansingstatejournal.com	least biased	center	0.0	1149624.0	6.0605561994929
cfr.org	least biased	center	0.0	1146666.0	6.059437314100245
orlandoweekly.com	left	left	-1.0	1136508.0	6.055572879246965
jta.org	least biased	center	0.0	1136333.0	6.055506001302044
wapt.com	least biased	center	0.0	1135353.0	6.055131294371632
foreignaffairs.com	least biased	center	0.0	1134666.0	6.054868424276442
metro.us	left-center	leftcenter	-1.0	1132000.0	6.053846810504452
mises.org	right	right	1.0	1130000.0	6.05307844348342
kolotv.com	least biased	center	0.0	1126845.0	6.051864567403548
windsorstar.com	right-center	right-center	1.0	1125333.0	6.051281440517339
armytimes.com	least biased	center	0.0	1120666.666666667	6.049476841915873
wjactv.com	right-center	right-center	1.0	1115059.0	6.047298236862059
nrdc.org	left	left	-1.0	1115000.0	6.047275256885782
rollcall.com	least biased	center	0.0	1109000.0	6.044931937758075
wjhl.com	least biased	center	0.0	1108135.0	6.044593064025052
blackamericaweb.com	left	left	-1.0	1105715.0	6.043643593992892
healthyway.com	left-center	leftcenter	-1.0	1098000.0	6.040602735646208
gop.com	right	fake-news	1.0	1094333.0	6.039149892581319
13newsnow.com	least biased	center	0.0	1094234.0	6.039110601927255
lifenews.com	far right	fake-news	1.0	1093666.0	6.038885108032864
tallahassee.com	left-center	leftcenter	-1.0	1091666.0	6.038090182217121
spectator.us	right-center	right-center	1.0	1090000.0	6.037426497940624
wtol.com	least biased	center	0.0	1086250.0	6.035930189267339
ntd.com	right	fake-news	1.0	1080000.0	6.033423755486949
toledoblade.com	right-center	right-center	1.0	1079666.0	6.033289827373384
abqjournal.com	right-center	right-center	1.0	1075333.0	6.031543377579621
procon.org	least biased	center	0.0	1074666.0	6.031273913120095
thefederalistpapers.org	extreme right	fake-news	1.0	1072000.0	6.0301951904820115
texasmonthly.com	left-center	leftcenter	-1.0	1070000.0	6.029384183567713
awm.com	right	fake-news	1.0	1069666.0	6.029248597712212
louderwithcrowder.com	right	fake-news	1.0	1069333.0	6.029113375649537
timescolonist.com	left-center	leftcenter	-1.0	1067666.0	6.028435819534049
coloradoan.com	left-center	leftcenter	-1.0	1067544.0	6.028386190806924
fox43.com	least biased	center	0.0	1061666.666666667	6.0259885910201
spectator.org	right	right	1.0	1058000.0	6.024486078185251
rare.us	right	right	1.0	1057000.0	6.02407539818186
thv11.com	least biased	center	0.0	1053162.0	6.022495592953879
wlns.com	least biased	center	0.0	1050151.0	6.021252163816266
democrats.org	left	fake-news	-1.0	1050000.0	6.021189299069938
guns.com	right-center	right-center	1.0	1048000.0	6.0203616970506415
kalb.com	least biased	center	0.0	1044042.0	6.018718385905849
csis.org	least biased	center	0.0	1040000.0	6.017033339298781
columbian.com	least biased	center	0.0	1038259.0	6.016306122708865
southfront.org	right-conspiracy	conspiracy	1.0	1036333.0	6.015499746702328
billingsgazette.com	right-center	right-center	1.0	1032666.0	6.0139602988889385
wikileaks.org	left-center	leftcenter	-1.0	1031333.0	6.013399335376938
wvtm13.com	least biased	center	0.0	1030688.0	6.013127641074825
armstrongeconomics.com	right	right	1.0	1030666.0	6.013118370984067
fredericksburg.com	least biased	center	0.0	1023087.0	6.0099129907705375
business2community.com	least biased	center	0.0	1020000.0	6.008600171761918
americamagazine.org	left-center	leftcenter	-1.0	1016333.0	6.007036454522294
secondnexus.com		left	-1.0	1015000.0	6.006466470125358
aceshowbiz.com	left-center	leftcenter	-1.0	1013529.0	6.005836608126839
pe.com	right-center	right-center	1.0	1012666.0	6.005466657761157
marginalrevolution.com	right-center	right-center	1.0	1010000.0	6.004321373782642
illicitinfo.com	extreme right	fake-news	1.0	1010000.0	6.004321373782642
splcenter.org	left	left	-1.0	1009000.0	6.003891596657393
koaa.com	least biased	center	0.0	1007877.0	6.003407965508892
nber.org	least biased	center	0.0	1007666.0	6.003317036121539
thehornnews.com	far right	fake-news	1.0	1002333.0	6.001012462236417
wspa.com	least biased	center	0.0	1000839.0	6.000364654231454
qanon.pub	extreme right	conspiracy	1.0	1000000.0	6.0
newsela.com	least biased	center	0.0	999666.0	5.999855355852939
todayifoundout.com	least biased	center	0.0	995333.0	5.997968839556375
irrawaddy.com	left-center	leftcenter	-1.0	994000.0	5.997386821313071
waow.com	least biased	center	0.0	991508.0	5.996296660682116
truththeory.com	left	left	-1.0	990000.0	5.995635633278623
pressofatlanticcity.com	least biased	center	0.0	989936.0	5.99560755679658
bearingarms.com	right	right	1.0	989000.0	5.995196730721813
ktul.com	right-center	right-center	1.0	988944.0	5.995172139058549
wsws.org	left	left	-1.0	979666.0	5.9910784791223985
wjhg.com	least biased	center	0.0	979622.0	5.9910589731205235
federalnewsnetwork.com	least biased	center	0.0	979510.0	5.9910088741466305
burnabynow.com	left-center	leftcenter	-1.0	979159.0	5.990853663651464
walb.com	least biased	center	0.0	976139.0	5.989512109538762
cbs12.com	right-center	right-center	1.0	974666.6666666664	5.9888565591485055
fox8live.com	least biased	center	0.0	973164.0	5.988186481084712
sunherald.com	least biased	center	0.0	971210.0	5.987313592607054
heraldtribune.com		center	0.0	970000.0	5.986772181992284
conservativereview.com	right	right	1.0	969666.0	5.986622615820765
tcpalm.com	left-center	leftcenter	-1.0	963546.0	5.9838729035714575
wabi.tv	least biased	center	0.0	962721.0	5.983500896370513
kcbd.com	least biased	center	0.0	961689.0	5.983035100118683
klfy.com	least biased	center	0.0	961296.0	5.9828575869750535
bigcountryhomepage.com	least biased	center	0.0	958555.0	5.9816174899637495
thelondoneconomic.com	left	left	-1.0	957333.0	5.981063483283978
liveaction.org	right – conspiracy and pseudoscience	conspiracy	1.0	956666.0	5.980760793336422
opensecrets.org	least biased	center	0.0	954333.0	5.97970039668603
china.org.cn	left-center	left	-1.0	953810.0	5.979461871381611
therightscoop.com	right	fake-news	1.0	953333.0	5.979245082111709
charismanews.com	right conspiracy-pseudoscience	conspiracy	1.0	953333.0	5.979245082111709
news-leader.com	left-center	leftcenter	-1.0	952130.0	5.978696705383566
nation.com.pk	right-center	right-center	1.0	950333.0	5.977876267250849
nowtoronto.com	left	left	-1.0	947333.0	5.976503124497636
wqow.com	least biased	center	0.0	945943.0	5.97586542687657
i24news.tv	least biased	center	0.0	945666.0	5.975738234158462
kristv.com	least biased	center	0.0	945336.0	5.975586656287148
news-gazette.com	right-center	right-center	1.0	944666.0	5.9752787444361
cato.org	right-center	right-center	1.0	944420.0	5.975165175566438
greenvilleonline.com	least biased	center	0.0	943780.0	5.974871229970042
thenewstribune.com	left-center	leftcenter	-1.0	943333.0	5.974665487726415
christianheadlines.com	right	right	1.0	943140.0	5.974576164332839
middleeastmonitor.com	left	left	-1.0	941666.0	5.973897351168327
renewedright.com	far right	fake-news	1.0	941000.0	5.973590084951434
insideedition.com	left-center	leftcenter	-1.0	939287.0	5.972798773984536
dailynews.com	right-center	right-center	1.0	937333.0	5.971894370514558
aier.org	right-center	right-center	1.0	935840.0	5.971201604019247
greeleytribune.com	right-center	right-center	1.0	932456.0	5.969628813571016
eastbaytimes.com	left-center	leftcenter	-1.0	932333.0	5.969571522194823
theamericanmirror.com	extreme right	fake-news	1.0	931666.0	5.969260712885393
chattanoogan.com	right-center	right-center	1.0	928987.0	5.968010104125566
metrotimes.com	left	left	-1.0	924780.0	5.966038428793191
whatdoesitmean.com	right conspiracy-pseudoscience	conspiracy	1.0	923000.0	5.9652021715505565
naplesnews.com	left-center	leftcenter	-1.0	921234.0	5.964370429528965
bigleaguepolitics.com	extreme right	fake-news	1.0	919333.0	5.963473322054414
theskimm.com	left-center	leftcenter	-1.0	918666.0	5.9631581160973495
sanluisobispo.com	left-center	leftcenter	-1.0	917588.0	5.962648198629115
ijr.com	right	right	1.0	915666.0	5.961737562798607
greensboro.com	left-center	leftcenter	-1.0	911666.0	5.959836234741159
grist.org	left-center	leftcenter	-1.0	909666.0	5.958882440090726
wchstv.com	right-center	right-center	1.0	909017.0	5.9585724830275515
richmond-news.com	left-center	leftcenter	-1.0	907750.0	5.95796625758493
14news.com	least biased	center	0.0	907599.0	5.957894487212898
hrc.org	left	left	-1.0	898333.0	5.953437837099437
politicalflare.com	left	fake-news	-1.0	896670.0	5.952632639757373
thecollegefix.com	right	right	1.0	896666.0	5.952631186730478
lcsun-news.com	least biased	center	0.0	894230.0	5.9514497213311355
dmagazine.com	least biased	center	0.0	894000.0	5.951338004583657
mexiconewsdaily.com	left-center	leftcenter	-1.0	884666.0	5.946779827446433
valleycentral.com	least biased	center	0.0	882716.0	5.945821490623929
govtrack.us	least biased	center	0.0	882666.0	5.945796890056459
whas11.com	least biased	center	0.0	880273.0	5.944617874611834
bellinghamherald.com	left-center	leftcenter	-1.0	879224.0	5.944100028377771
americanmilitarynews.com	right-center	right-center	1.0	879000.0	5.943989369151399
courthousenews.com	least biased	center	0.0	878666.0	5.943824315957393
nbc25news.com	right-center	right-center	1.0	878654.0	5.943818384735018
theprovince.com	right-center	right-center	1.0	878490.0	5.943736822212034
dailybreeze.com	least biased	center	0.0	871578.0	5.940306757721544
nhregister.com		leftcenter	-1.0	871032.0	5.940034609021915
the-daily-record.com	left-center	leftcenter	-1.0	870874.0	5.9399558235426255
english.alarabiya.net	right-center	fake-news	1.0	864666.0	5.936848884451066
tass.com	right-center	fake-news	1.0	860666.0	5.934835151411513
vibe.com	left-center	leftcenter	-1.0	859133.0	5.934060906464463
therightstuff.biz	extreme right	fake-news	1.0	859000.0	5.933993669412417
news10.com	least biased	center	0.0	856232.0	5.932591961925902
aei.org	right	right	1.0	855780.0	5.932362132590618
trtworld.com	right	right	1.0	855000.0	5.931966622674638
agriculture.com	left-center	leftcenter	-1.0	852653.0	5.930772833776024
kttc.com	least biased	center	0.0	851733.0	5.930303984004545
kxly.com	least biased	center	0.0	844293.0	5.926493702957751
gawker.com	left	left	-1.0	843824.0	5.9262523880773985
thepoliticalinsider.com	extreme right	fake-news	1.0	841000.0	5.92479651220008
adl.org	left-center	leftcenter	-1.0	840333.0	5.924451935498084
kmph.com	right-center	right-center	1.0	837636.0	5.923055852697683
crainsdetroit.com	least biased	center	0.0	835763.0	5.922083660253325
ksla.com	least biased	center	0.0	834989.0	5.921681274320938
nbcmontana.com	right-center	right-center	1.0	834200.0	5.921270706121442
ucsusa.org	pro-science	leftcenter	-1.0	833000.0	5.920645522768398
journal-news.com	least biased	center	0.0	832374.0	5.920319027900601
missoulian.com	least biased	center	0.0	832000.0	5.92012384827897
everydayfeminism.com	left	left	-1.0	829666.0	5.918903816374425
opendemocracy.net	left-center	leftcenter	-1.0	829333.0	5.918729470410298
al-monitor.com	left-center	leftcenter	-1.0	828666.0	5.918380044282019
frontpagemag.com	extreme right	fake-news	1.0	828000.0	5.918030861294807
project-syndicate.org	left-center	leftcenter	-1.0	827666.0	5.917855639742028
the-scientist.com	left leaning pro-science	pro-science	-1.0	827333.0	5.917680872398171
uppermichiganssource.com	least biased	center	0.0	824977.0	5.9164423672093225
courierpress.com	left-center	leftcenter	-1.0	822479.0	5.915125346141473
thegazette.com	right-center	right-center	1.0	821333.0	5.914519801284337
fredericknewspost.com	least biased	center	0.0	817375.0	5.912421881698811
valleynewslive.com	least biased	right-center	1.0	816000.0	5.9116906909771645
local21news.com	right-center	right-center	1.0	814927.0	5.9111192399252594
nationalenquirer.com	right	fake-news	1.0	814000.0	5.910624938420178
rochesterfirst.com	least biased	center	0.0	812752.0	5.909958581220814
ktiv.com	least biased	center	0.0	812184.0	5.90965496437418
mycentraljersey.com	left-center	leftcenter	-1.0	810347.0	5.908671564586148
unionleader.com	right-center	right-center	1.0	809666.0	5.908306438881019
wjcl.com		center	0.0	807865.0	5.907339330716762
greenbaypressgazette.com	least biased	center	0.0	807592.0	5.90719254593957
valuewalk.com	right-center	right-center	1.0	806333.0	5.906514972711504
sofrep.com	right-center	right-center	1.0	805010.0	5.905801275296868
wcfcourier.com	least biased	center	0.0	805000.0	5.905796419863784
fayobserver.com	least biased	center	0.0	803004.0	5.904718249470025
us.blastingnews.com	least biased	center	0.0	803000.0	5.904716086118297
gellerreport.com	extreme right	fake-news	1.0	799810.0	5.90298682980209
wandtv.com	least biased	center	0.0	798806.0	5.902441861967384
rense.com	far right	conspiracy	1.0	795666.0	5.900731346228605
oneangrygamer.net	right	right	1.0	794180.0	5.899918945937375
nature.org	left-center	leftcenter	-1.0	791666.0	5.898542542102019
charitynavigator.org	least biased	center	0.0	791380.0	5.898385070444296
city-journal.org	right	right	1.0	790333.0	5.8978106655970315
tabletmag.com	right-center	right-center	1.0	789333.0	5.897260810133837
southbendtribune.com	least biased	center	0.0	789194.0	5.89718432508587
bucksfreepress.co.uk	least biased	center	0.0	786178.0	5.895521438993196
lewrockwell.com	extreme right	fake-news	1.0	784000.0	5.894316616631128
gastongazette.com	left-center	leftcenter	-1.0	781230.0	5.892779468181895
vigilantcitizen.com	right conspiracy-pseudoscience	conspiracy	1.0	781000.0	5.892651589951825
janes.com	least biased	center	0.0	780666.0	5.892465821454081
kait8.com	least biased	center	0.0	779302.0	5.891706348099747
calgarysun.com	right-center	right	1.0	778333.0	5.891166002169017
newschannel20.com	right-center	right-center	1.0	776830.0	5.890326548079541
kpax.com	least biased	center	0.0	776114.0	5.889926077140981
desertsun.com	right-center	right-center	1.0	773333.0	5.888367104562871
wlfi.com	least biased	center	0.0	770924.0	5.887012129451098
westernmassnews.com	least biased	center	0.0	769671.0	5.886305687590166
amac.us	right	right	1.0	762060.0	5.881989166409253
pjstar.com	least biased	center	0.0	761422.0	5.881625991236188
wtvy.com	least biased	center	0.0	758798.0	5.880126749872439
cbs7.com	least biased	center	0.0	755666.6666666665	5.8783308401234775
montgomeryadvertiser.com	left-center	leftcenter	-1.0	751700.0	5.876045127995454
nakedcapitalism.com		leftcenter	-1.0	746333.0	5.87293322679531
mytwintiers.com	least biased	center	0.0	744274.0	5.871733431400318
elpasotimes.com	left-center	leftcenter	-1.0	742000.0	5.870404490581169
foxsanantonio.com	right-center	right-center	1.0	739134.0	5.868723767759492
kiiitv.com	least biased	center	0.0	737333.3333333335	5.867664456919582
religionnews.com	left-center	leftcenter	-1.0	736000.0	5.866878404411122
cjonline.com	left-center	leftcenter	-1.0	735666.0	5.866681275222411
pantagraph.com	right-center	right-center	1.0	731666.0	5.864313467714688
wnyc.org	left-center	leftcenter	-1.0	730000.0	5.8633234550439965
abc17news.com	least biased	center	0.0	729104.0	5.862790076516737
taxfoundation.org	right-center	right-center	1.0	728666.0	5.862529101564828
economicshelp.org	left-center	leftcenter	-1.0	728333.0	5.86233058411015
villagevoice.com	left	left	-1.0	726666.0	5.861335438102549
wnyt.com	least biased	center	0.0	726147.0	5.861025145538532
libertyheadlines.com		right	1.0	725666.0	5.860737373813569
chicksonright.com	right	right	1.0	725180.0	5.860445818024943
humansarefree.com	right conspiracy-pseudoscience	conspiracy	1.0	723666.0	5.859538768778232
brainerddispatch.com	right-center	right-center	1.0	722672.0	5.858941829216335
morningconsult.com	least biased	center	0.0	720000.0	5.85733309961763
kfvs12.com	least biased	center	0.0	718333.3333333335	5.856326624362953
wcti12.com	right-center	right-center	1.0	717516.0	5.855832195188231
journaltimes.com	least biased	center	0.0	717165.0	5.855619691985518
techdirt.com	left-center	leftcenter	-1.0	716886.0	5.855450704978789
bnd.com	right-center	center	1.0	716145.0	5.85500157053489
dailygazette.com	least biased	center	0.0	714541.0	5.854027761233574
nwahomepage.com	least biased	center	0.0	712348.0	5.852692818972806
jacksonville.com	left-center	center	-1.0	710000.0	5.8512589604010135
keyt.com	least biased	center	0.0	709333.3333333335	5.850850981160175
constitutioncenter.org	least biased	center	0.0	709333.0	5.850850777074662
kfyrtv.com	least biased	center	0.0	708666.6666666665	5.850442618300413
localnews8.com	least biased	center	0.0	704650.0	5.847974072590648
wbko.com	least biased	center	0.0	704075.0	5.847619540675008
fullfact.org	least biased	center	0.0	700333.0	5.84530521110302
moonofalabama.org	left	fake-news	-1.0	697666.0	5.8436481811175325
waaytv.com	least biased	center	0.0	694580.0	5.841722899176277
ozarksfirst.com	least biased	center	0.0	693760.0	5.841209882186845
mintpressnews.com	far left	fake-news	-1.0	693333.0	5.840942497833747
projectveritas.com	right	fake-news	1.0	692000.0	5.840106722049486
aclj.org	right	right	1.0	691333.0	5.839687916132079
registerguard.com	left-center	leftcenter	-1.0	687259.0	5.837121067778107
gainesville.com	left-center	leftcenter	-1.0	685353.0	5.835914951835043
pluralist.com	right	right	1.0	684000.0	5.835056736653105
kesq.com	least biased	center	0.0	682666.6666666665	5.834209333757222
krcgtv.com	right-center	right-center	1.0	681178.0	5.833261250675324
wdtn.com	least biased	center	0.0	680396.0	5.832762390057642
tri-cityherald.com	least biased	center	0.0	680174.0	5.83262066528918
nbc29.com	least biased	center	0.0	674984.0	5.829294121735304
fox23.com	least biased	center	0.0	673335.0	5.828231834701701
commercialappeal.com	least biased	center	0.0	672694.0	5.827818199675549
mynews4.com	right-center	right-center	1.0	671120.0	5.826800828506992
whatreallyhappened.com	right conspiracy-pseudoscience	conspiracy	1.0	669999.0	5.826074802700826
12newsnow.com	least biased	center	0.0	666576.0	5.8238503244079025
krtv.com	least biased	center	0.0	665806.0	5.8233483568245425
stream.org	right-conspiracy/pseudoscience	conspiracy	1.0	661333.0	5.820420850895133
wacotrib.com	least biased	center	0.0	660310.0	5.819748532165497
marketrealist.com	left-center	leftcenter	-1.0	654662.0	5.816017796321554
victoriaadvocate.com	left-center	leftcenter	-1.0	654634.0	5.81599922110721
galvnews.com	right-center	right-center	1.0	652460.0	5.814554557403434
disclose.tv	right	fake-news	1.0	651040.0	5.81360767250921
poststar.com	least biased	center	0.0	646333.0	5.810457002315988
knoe.com	least biased	center	0.0	642000.0	5.807535704539482
abcnews4.com	right-center	right-center	1.0	641228.0	5.807013155377636
newswars.com	extreme right	fake-news	1.0	639333.0	5.8057278009765625
stepfeed.com	left-center	leftcenter	-1.0	637000.0	5.804140114115792
gatestoneinstitute.org	extreme right	fake-news	1.0	636920.0	5.804084886432
campusreform.org	right	right	1.0	636333.0	5.803685128670604
heraldnet.com	left-center	leftcenter	-1.0	635000.0	5.802774409219755
rapidcityjournal.com		center	0.0	634666.0	5.802545917424575
capecodtimes.com	least biased	center	0.0	633666.0	5.801861090601524
qctimes.com		center	0.0	632666.0	5.801175182188454
syriahr.com	left-center	leftcenter	-1.0	632640.0	5.8011566476335785
goerie.com	least biased	center	0.0	629666.0	5.799110933109194
dailypress.com	right-center	right-center	1.0	629333.0	5.798881195299858
rasmussenreports.com	right-center	right-center	1.0	625000.0	5.79588071221469
sgvtribune.com	least biased	center	0.0	624775.0	5.79572433830241
thelily.com	left	left	-1.0	622333.0	5.794023528461606
alaskapublic.org	left-center	leftcenter	-1.0	619373.0	5.791952970646977
dentonrc.com	least biased	center	0.0	618462.0	5.791313722758208
postbulletin.com		right-center	1.0	618000.0	5.790989177830127
hickoryrecord.com	least biased	center	0.0	617005.0	5.790289387297783
wtvm.com	least biased	center	0.0	616172.0	5.789702664107639
kxxv.com	least biased	center	0.0	615485.0	5.789218178807715
washingtonmonthly.com	left-center	leftcenter	-1.0	615333.0	5.789110912494875
govexec.com	left-center	leftcenter	-1.0	615000.0	5.788875821944732
rescue.org	least biased	center	0.0	614000.0	5.788169078460594
lawfareblog.com	least biased	center	0.0	612770.0	5.78729749495127
ydr.com	left-center	leftcenter	-1.0	612000.0	5.786752131776487
balkaninsight.com	left-center	leftcenter	-1.0	611920.0	5.786694647914236
russia-insider.com	extreme right	fake-news	1.0	610333.0	5.7855675639613295
creation.com	right-pseudoscience	conspiracy	1.0	607666.0	5.783665652165903
wsiltv.com	least biased	center	0.0	607523.0	5.783563439244314
kplctv.com	least biased	center	0.0	606555.0	5.7828709030892576
everythinglubbock.com	least biased	center	0.0	606124.0	5.782562197123581
intellectualtakeout.org	right	right	1.0	605000.0	5.781756092493994
postregister.com	least biased	center	0.0	604820.0	5.781626143845705
memeorandum.com	least biased	center	0.0	604000.0	5.781037657651136
kxii.com	least biased	center	0.0	600686.0	5.778648233097084
citizen-times.com	left-center	leftcenter	-1.0	600666.0	5.778633772930242
kff.org	left-center	leftcenter	-1.0	600333.0	5.778392940381093
nationmaster.com	least biased	center	0.0	600000.0	5.7781519742071765
acsh.org	right-center	right-center	1.0	594000.0	5.77378717611607
bakersfieldnow.com	right-center	right-center	1.0	592977.0	5.7730385809598115
thenewsstar.com	left-center	center	-1.0	592785.0	5.772897938232837
pamplinmedia.com		leftcenter	-1.0	592135.0	5.7724214656185175
macon.com	least biased	center	0.0	590263.0	5.7710462965565945
focustaiwan.tw	left-center	leftcenter	-1.0	589680.0	5.770616398191687
lmtonline.com	right center	right-center	1.0	589312.0	5.7703460215567
firstthings.com	right	right	1.0	586000.0	5.767898357134322
kotatv.com	least biased	center	0.0	583761.0	5.766235821163407
wtva.com	least biased	center	0.0	579044.0	5.762712315872984
patriotpost.us	right	right	1.0	578666.0	5.762428716290371
merryjane.com	left	left	-1.0	578666.0	5.762428716290371
southcoasttoday.com	left-center	leftcenter	-1.0	576980.0	5.761161512062114
euractiv.com	left-center	leftcenter	-1.0	576666.0	5.760925099446333
necn.com	least biased	center	0.0	575000.0	5.7596685999837245
currentaffairs.org	left	left	-1.0	573000.0	5.758155379897762
rumormillnews.com	right conspiracy-pseudoscience	conspiracy	1.0	569333.0	5.755367120174574
airforcetimes.com	least biased	center	0.0	569020.0	5.755128294542391
edmontonsun.com	right-center	right-center	1.0	569000.0	5.755113029653596
globalvoices.org		left	-1.0	568333.0	5.754603638044897
wtrf.com	least biased	center	0.0	566942.0	5.753539397464618
summitdaily.com	least biased	center	0.0	565538.0	5.7524625595722965
dailycamera.com	least biased	center	0.0	564186.0	5.751423074918763
kfdm.com	right-center	right-center	1.0	563000.0	5.750509166244057
lacrossetribune.com	least biased	center	0.0	562682.0	5.75026379427658
chicagoreader.com	left	left	-1.0	562666.0	5.750251444853358
endtimeheadlines.org	right-center	right-center	1.0	561666.0	5.74947890822915
arktimes.com	left-center	leftcenter	-1.0	559289.0	5.747637054294019
wdam.com	least biased	center	0.0	559288.0	5.74763627778296
counton2.com	least biased	center	0.0	558327.0	5.7468894081487845
vaildaily.com	least biased	center	0.0	557236.0	5.746039945444566
bellingcat.com	left-center	leftcenter	-1.0	553666.0	5.743248639197326
wsav.com	least biased	center	0.0	552614.0	5.742422669087215
yoursun.com	least biased	center	0.0	552370.0	5.742230083396351
cjr.org	left-center	leftcenter	-1.0	550666.0	5.740889051154744
humanevents.com	right	right	1.0	550000.0	5.740363479119857
mauinews.com	left-center	leftcenter	-1.0	549571.0	5.74002459785924
statesmanjournal.com	least biased	center	0.0	547666.0	5.738516573045496
okcfox.com	right-center	right-center	1.0	545994.0	5.737188665630832
emirates247.com	right-center	fake-news	1.0	545000.0	5.73639729914652
them.us	left	left	-1.0	543340.0	5.735071678418253
rrstar.com	left-center	leftcenter	-1.0	543185.0	5.734948567971451
wrbl.com	least biased	center	0.0	542406.0	5.734325285655756
macombdaily.com	least biased	center	0.0	542232.0	5.734185944970368
durangoherald.com	right-center	right-center	1.0	540603.0	5.732879254776508
enterprisenews.com	left-center	leftcenter	-1.0	539862.0	5.732283563725241
crooked.com	left	left	-1.0	539666.0	5.732125862282228
prospect.org	left	left	-1.0	539666.0	5.732125862282228
wdio.com	least biased	center	0.0	536700.0	5.729732404480397
truthorfiction.com	least biased	center	0.0	533666.0	5.727270348464064
weny.com	least biased	center	0.0	533083.0	5.726795647792289
nwaonline.com	right-center	right-center	1.0	531708.0	5.725674011484495
faithwire.com	right	right	1.0	530666.0	5.724822081479943
pnj.com	least biased	center	0.0	527333.0	5.722085773486505
dailyprogress.com	least biased	center	0.0	524666.0	5.71988374922101
idahostatejournal.com	right-center	right-center	1.0	523895.0	5.719245082577438
onlineathens.com	left-center	leftcenter	-1.0	523347.0	5.718790568829342
wgem.com	least biased	center	0.0	521042.0	5.716873565702827
bdtonline.com	left-center	leftcenter	-1.0	520624.0	5.716525018750863
nebraska.tv	right-center	right-center	1.0	520134.0	5.716116078530531
shareblue.com		left	-1.0	518000.0	5.7143305981507595
mypanhandle.com	least biased	center	0.0	517786.0	5.714151142469771
kxnet.com	least biased	center	0.0	517406.0	5.713832299990901
dailyfreeman.com	least biased	center	0.0	516467.0	5.71304341810356
wjbf.com	least biased	center	0.0	515430.0	5.712170535138574
noqreport.com	far right	fake-news	1.0	514570.00000000006	5.7114444627638585
christianscience.com	right-pseudoscience	conspiracy	1.0	513666.0	5.710681665825065
mediapost.com	least biased	center	0.0	512724.0	5.7098844937566575
vvdailypress.com	left-center	leftcenter	-1.0	512553.0	5.709739627126026
delmarvanow.com	left-center	leftcenter	-1.0	512179.0	5.709422615797342
thefrisky.com	left-center	fake-news	-1.0	510333.0	5.7078545033126264
austinchronicle.com		left	-1.0	510000.0	5.707571027654909
standard.net	right-center	center	1.0	509333.0	5.707002667967911
wqad.com	least biased	center	0.0	509104.0	5.7068073623324596
deadstate.org	left	left	-1.0	509000.0	5.70671863556673
wjtv.com	least biased	center	0.0	508379.0	5.706188456790526
starnewsonline.com	left-center	leftcenter	-1.0	508133.0	5.705978255170807
poconorecord.com	least biased	center	0.0	505706.0	5.703898965181551
thenewamerican.com	right	right	1.0	505666.0	5.7038646123520635
kimt.com	least biased	center	0.0	503666.66666666674	5.702144071884189
siouxcityjournal.com	left-center	center	-1.0	502333.0	5.700992573964172
sacurrent.com	left	left	-1.0	502182.0	5.700862006801523
amren.com	extreme right	fake-news	1.0	501333.0	5.700127159054835
theindependent.com	least biased	center	0.0	500283.0	5.699216613571346
scotusblog.com	least biased	center	0.0	496333.0	5.695774026369237
breakingdefense.com	right-center	right-center	1.0	493780.0	5.6935334953457275
governing.com	left-center	leftcenter	-1.0	493666.0	5.693434097045527
neonnettle.com	right conspiracy-pseudoscience	conspiracy	1.0	493000.0	5.692847800198207
minnpost.com	left-center	leftcenter	-1.0	493000.0	5.692847800198207
themarshallproject.org	least biased	center	0.0	492666.0	5.692553473178343
conservativedailypost.com	extreme right	fake-news	1.0	491666.0	5.691671060031356
conservapedia.com	extreme right	fake-news	1.0	491000.0	5.691082376632214
news.mongabay.com	left-center	leftcenter	-1.0	491000.0	5.691082376632214
defenseone.com	least biased	center	0.0	489333.0	5.689605392541842
fox21news.com	least biased	center	0.0	489254.0	5.689535272677128
poughkeepsiejournal.com	left-center	leftcenter	-1.0	489033.0	5.689339054418244
daily.jstor.org	left-center	leftcenter	-1.0	488666.0	5.689013011829877
tahoedailytribune.com	least biased	center	0.0	486150.0	5.686770290087892
coed.com	left-center	leftcenter	-1.0	486000.0	5.686637162871419
thetrumpet.com	right conspiracy-pseudoscience	conspiracy	1.0	485666.0	5.686338595124681
